OKR,Área del Banco,ID Epica,Costo,Equipo,Ciclo de desarrollo,Fecha de inicio,Fecha de fin,id
200,Cumplimiento,894,18632,equipo 1,hibrido,"Oct 1, 2023 6:41 PM","Sep 19, 2023 2:09 PM",1
200,Tecnologia,271,40403,"equipo 5 ",hibrido,"Nov 4, 2023 11:06 AM","Feb 21, 2024 7:31 PM",2
300,Tecnologia,575,23088,equipo 6,agil,"Aug 10, 2023 4:21 AM","Jun 27, 2024 7:03 AM",3
200,Gente,684,24465,equipo 6,hibrido,"Feb 4, 2024 9:47 PM","Feb 26, 2024 11:34 PM",4
400,Tecnologia,993,2157,"equipo 5 ",agil,"Oct 24, 2023 11:31 AM","Apr 26, 2024 4:03 AM",5
200,Cumplimiento,835,43436,equipo 3,hibrido,"Oct 17, 2023 1:19 PM","May 17, 2024 9:30 PM",6
200,Credito,405,12114,equipo 4,hibrido,"Feb 15, 2024 11:47 AM","Sep 21, 2023 1:29 PM",7
200,Payments,324,42346,equipo 3,hibrido,"Feb 6, 2024 5:59 PM","Aug 19, 2023 3:24 PM",8
400,Payments,662,40697,equipo 4,agil,"Jan 25, 2024 11:16 PM","Apr 29, 2024 11:41 AM",9
300,Zona Libre,389,13886,equipo 4,agil,"Sep 3, 2023 7:21 PM","Mar 3, 2024 11:05 PM",10
400,Gente,974,23399,equipo 1,agil,"Jan 25, 2024 9:04 AM","Nov 1, 2023 3:53 AM",11
300,Gente,306,36002,equipo 4,agil,"Aug 7, 2023 12:27 PM","Oct 15, 2023 5:57 PM",12
300,Credito,473,27734,equipo 7,agil,"Jul 25, 2023 11:34 AM","Jul 2, 2023 11:51 AM",13
300,Credito,479,12308,"equipo 5 ",hibrido,"Oct 26, 2023 4:32 PM","Nov 5, 2023 10:31 PM",14
300,Payments,918,14439,equipo 2,agil,"May 4, 2024 6:31 PM","Sep 25, 2023 6:56 AM",15
200,Operaciones,668,18927,equipo 2,hibrido,"Aug 10, 2023 3:45 PM","Mar 24, 2024 11:19 AM",16
100,Gente,472,30955,equipo 3,agil,"Apr 22, 2024 5:13 AM","Aug 13, 2023 11:45 PM",17
100,Cumplimiento,846,4496,equipo 6,hibrido,"Oct 18, 2023 2:52 AM","Apr 19, 2024 2:21 PM",18
200,Tecnologia,844,33051,"equipo 5 ",agil,"Feb 2, 2024 4:05 AM","Dec 23, 2023 8:20 PM",19
500,Cumplimiento,883,32961,equipo 2,agil,"Apr 11, 2024 6:00 AM","Nov 5, 2023 2:07 PM",20
200,Tecnologia,586,32673,equipo 3,agil,"Feb 4, 2024 4:15 AM","Feb 11, 2024 9:10 PM",21
100,Zona Libre,539,40136,equipo 4,agil,"Mar 20, 2024 8:13 AM","Sep 19, 2023 2:56 PM",22
300,Gente,375,25548,equipo 6,hibrido,"Mar 31, 2024 2:59 AM","Apr 10, 2024 11:44 PM",23
200,Credito,590,36662,equipo 7,agil,"Apr 23, 2024 8:04 AM","Jun 23, 2024 8:30 AM",24
200,Operaciones,936,29180,equipo 3,hibrido,"Jun 14, 2024 9:07 PM","Apr 22, 2024 11:59 PM",25
300,Gente,398,25592,equipo 3,agil,"Oct 20, 2023 3:53 AM","Sep 17, 2023 2:34 PM",26
400,Operaciones,879,22729,equipo 3,hibrido,"Oct 12, 2023 12:06 AM","May 31, 2024 5:43 AM",27
400,Cumplimiento,302,4322,equipo 3,agil,"Nov 22, 2023 6:01 PM","Mar 18, 2024 8:17 PM",28
400,Operaciones,814,40764,equipo 2,agil,"Jun 28, 2023 8:03 PM","Jul 28, 2023 11:54 AM",29
