OKR,Área del Banco,ID Epica,Costo,Equipo,Ciclo de desarrollo,Fecha de inicio,Fecha de fin,id
400,Gente,661,4430,equipo 3,hibrido,"Jan 25, 2024 4:25 PM","Dec 24, 2023 9:16 AM",1
400,Operaciones,254,15371,equipo 3,hibrido,"Mar 18, 2024 5:06 AM","Dec 23, 2023 6:42 PM",2
400,Tecnologia,377,13037,equipo 3,agil,"Feb 7, 2024 1:17 AM","Oct 4, 2023 8:45 PM",3
200,Gente,849,44669,"equipo 5 ",agil,"Jul 25, 2023 3:00 PM","Mar 14, 2024 8:01 PM",4
400,Payments,973,13551,equipo 4,agil,"Dec 28, 2023 9:32 PM","Feb 25, 2024 7:39 PM",5
200,Cumplimiento,857,19757,equipo 1,hibrido,"Dec 8, 2023 8:10 PM","Jun 14, 2024 1:19 AM",6
100,Payments,557,36548,equipo 4,hibrido,"Mar 29, 2024 7:36 AM","Sep 23, 2023 5:27 PM",7
300,Cumplimiento,502,44359,equipo 4,agil,"Sep 29, 2023 8:26 PM","Aug 5, 2023 9:13 PM",8
400,Cumplimiento,746,7386,equipo 4,hibrido,"Aug 30, 2023 12:27 PM","Dec 28, 2023 5:36 AM",9
200,Credito,760,43505,equipo 3,agil,"Dec 25, 2023 3:44 PM","Jan 9, 2024 1:08 PM",10
100,Gente,628,41769,equipo 4,hibrido,"Sep 19, 2023 3:06 PM","Aug 16, 2023 4:59 PM",11
400,Tecnologia,705,31036,equipo 4,hibrido,"Sep 13, 2023 8:13 AM","Jan 24, 2024 2:14 AM",12
100,Payments,847,3815,equipo 4,agil,"Apr 3, 2024 3:07 PM","May 23, 2024 3:58 AM",13
100,Gente,324,20377,equipo 4,agil,"Sep 16, 2023 12:18 PM","Feb 13, 2024 5:47 PM",14
400,Payments,614,11387,equipo 4,hibrido,"Sep 28, 2023 2:55 AM","Aug 3, 2023 3:02 PM",15
500,Cumplimiento,274,33076,equipo 2,agil,"Oct 17, 2023 5:11 AM","Feb 14, 2024 8:34 PM",16
300,Tecnologia,272,14825,equipo 3,hibrido,"Mar 17, 2024 11:09 AM","Jun 10, 2024 8:35 PM",17
400,Zona Libre,838,25533,"equipo 5 ",hibrido,"Oct 9, 2023 1:06 AM","Sep 28, 2023 7:18 AM",18
200,Credito,434,41118,"equipo 5 ",agil,"Jun 26, 2023 1:30 AM","Jan 13, 2024 4:14 PM",19
200,Gente,982,16592,equipo 4,agil,"Mar 27, 2024 2:20 AM","Jan 26, 2024 11:12 AM",20
200,Gente,888,38734,equipo 6,hibrido,"Jan 16, 2024 8:22 PM","Oct 30, 2023 2:49 AM",21
100,Cumplimiento,384,7922,equipo 3,hibrido,"Sep 22, 2023 12:12 PM","Dec 9, 2023 11:16 PM",22
400,Tecnologia,771,28453,equipo 1,hibrido,"Jul 8, 2023 3:07 PM","Aug 14, 2023 5:27 PM",23
500,Corporativa,308,1428,equipo 4,hibrido,"Dec 16, 2023 9:23 AM","May 27, 2024 8:00 AM",24
100,Cumplimiento,649,15527,equipo 2,agil,"Aug 14, 2023 3:07 PM","Jul 31, 2023 7:56 PM",25
200,Payments,735,7302,equipo 4,hibrido,"Mar 15, 2024 5:39 PM","Dec 7, 2023 11:56 AM",26
400,Operaciones,688,18226,"equipo 5 ",agil,"Apr 21, 2024 3:34 AM","Jun 2, 2024 11:12 AM",27
300,Credito,418,8016,"equipo 5 ",agil,"Oct 26, 2023 12:43 AM","Feb 6, 2024 8:38 PM",28
200,Credito,862,2601,equipo 6,agil,"Jun 2, 2024 9:23 AM","Nov 11, 2023 3:03 PM",29
400,Payments,427,16047,equipo 2,hibrido,"Apr 28, 2024 2:53 PM","Oct 5, 2023 9:54 PM",30
200,Tecnologia,479,4675,equipo 3,agil,"Feb 16, 2024 3:51 AM","Aug 15, 2023 1:00 PM",31
200,Credito,456,14689,"equipo 5 ",agil,"Jun 25, 2023 4:49 PM","Nov 24, 2023 12:32 AM",32
500,Gente,500,30977,equipo 2,hibrido,"Mar 28, 2024 5:30 PM","Aug 12, 2023 6:46 AM",33
200,Zona Libre,884,5959,"equipo 5 ",hibrido,"Dec 7, 2023 11:32 AM","Sep 21, 2023 12:14 PM",34
200,Operaciones,470,32709,equipo 7,hibrido,"Nov 21, 2023 6:05 PM","May 7, 2024 7:00 AM",35
400,Zona Libre,862,33469,equipo 3,agil,"Dec 6, 2023 11:51 PM","Apr 18, 2024 10:12 AM",36
300,Gente,267,11895,"equipo 5 ",agil,"Sep 9, 2023 9:35 AM","Mar 11, 2024 1:52 AM",37
400,Payments,666,10316,"equipo 5 ",hibrido,"Feb 1, 2024 5:17 AM","Sep 10, 2023 3:18 PM",38
200,Corporativa,941,2667,"equipo 5 ",agil,"Dec 14, 2023 10:03 PM","Sep 16, 2023 1:06 AM",39
300,Operaciones,266,18249,equipo 2,hibrido,"Mar 29, 2024 10:13 AM","May 26, 2024 1:37 PM",40
400,Tecnologia,668,44833,equipo 4,hibrido,"Dec 1, 2023 8:28 PM","Feb 10, 2024 4:56 AM",41
500,Zona Libre,659,23537,equipo 1,hibrido,"May 27, 2024 4:32 AM","Apr 5, 2024 7:40 AM",42
100,Operaciones,670,20782,equipo 2,agil,"Oct 26, 2023 8:04 PM","Dec 22, 2023 8:21 AM",43
200,Cumplimiento,976,27162,"equipo 5 ",hibrido,"Apr 18, 2024 7:51 PM","Apr 15, 2024 1:26 AM",44
400,Corporativa,874,1293,equipo 6,agil,"Nov 19, 2023 1:41 PM","Sep 4, 2023 4:27 PM",45
400,Gente,393,10844,"equipo 5 ",hibrido,"Mar 7, 2024 3:58 PM","Apr 16, 2024 9:41 AM",46
300,Operaciones,602,4222,"equipo 5 ",agil,"Apr 24, 2024 9:12 PM","Apr 15, 2024 8:43 AM",47
300,Cumplimiento,628,16930,"equipo 5 ",hibrido,"Apr 8, 2024 8:57 PM","May 14, 2024 8:55 PM",48
300,Credito,822,31944,equipo 2,agil,"Nov 20, 2023 6:39 PM","Apr 26, 2024 1:42 PM",49
200,Cumplimiento,993,8924,equipo 2,hibrido,"Dec 24, 2023 6:34 PM","Aug 19, 2023 8:58 PM",50
100,Operaciones,826,24410,equipo 7,agil,"Nov 27, 2023 1:44 AM","Oct 13, 2023 9:03 AM",51
400,Payments,891,32129,equipo 3,agil,"Jul 4, 2023 3:41 PM","May 18, 2024 8:57 PM",52
400,Cumplimiento,950,10573,equipo 3,agil,"Apr 10, 2024 1:00 PM","Jun 29, 2024 5:11 PM",53
300,Payments,828,22293,"equipo 5 ",hibrido,"Oct 14, 2023 9:09 PM","Jun 9, 2024 9:18 AM",54
