OKR,Área del Banco,ID Epica,Costo,Equipo,Ciclo de desarrollo,Fecha de inicio,Fecha de fin,id
100,Cumplimiento,876,26220,equipo 7,hibrido,"Jul 20, 2023 6:07 AM","Feb 7, 2024 2:15 AM",1
400,Payments,344,13849,equipo 2,agil,"Jun 28, 2023 9:24 AM","Apr 1, 2024 3:28 PM",2
300,Payments,932,6523,"equipo 5 ",agil,"Mar 1, 2024 7:47 PM","Jul 6, 2023 2:07 PM",3
200,Operaciones,360,23187,equipo 1,hibrido,"May 16, 2024 3:12 AM","Dec 15, 2023 10:36 AM",4
100,Credito,257,26658,equipo 2,agil,"Feb 18, 2024 4:29 AM","Dec 30, 2023 4:59 AM",5
200,Credito,456,33653,"equipo 5 ",hibrido,"Aug 31, 2023 10:06 PM","Dec 30, 2023 7:32 AM",6
300,Operaciones,912,38483,equipo 4,agil,"Mar 5, 2024 11:28 AM","Dec 18, 2023 4:17 PM",7
500,Zona Libre,507,43822,"equipo 5 ",agil,"Jul 25, 2023 4:47 PM","Mar 9, 2024 4:08 PM",8
200,Credito,464,37844,equipo 4,agil,"Sep 5, 2023 8:13 AM","Dec 24, 2023 2:49 PM",9
400,Gente,372,29271,"equipo 5 ",agil,"Jul 27, 2023 7:09 PM","Feb 14, 2024 1:36 AM",10
400,Tecnologia,261,5129,equipo 3,agil,"Mar 7, 2024 4:18 AM","Oct 30, 2023 3:19 PM",11
200,Cumplimiento,690,24097,equipo 7,hibrido,"Mar 29, 2024 6:31 AM","Apr 26, 2024 2:35 AM",12
300,Gente,697,26036,equipo 6,hibrido,"Mar 26, 2024 9:27 AM","Mar 23, 2024 4:27 AM",13
500,Operaciones,600,39127,equipo 6,hibrido,"Apr 14, 2024 12:03 PM","Oct 15, 2023 7:51 AM",14
200,Payments,816,20183,"equipo 5 ",agil,"Oct 9, 2023 7:51 AM","Jul 16, 2023 10:59 AM",15
200,Tecnologia,900,11676,equipo 7,agil,"Mar 27, 2024 4:22 PM","Sep 21, 2023 3:30 PM",16
100,Credito,969,6337,equipo 7,hibrido,"Aug 23, 2023 8:29 PM","Jul 15, 2023 4:48 PM",17
200,Corporativa,558,15271,equipo 2,hibrido,"Jul 11, 2023 6:35 PM","Jan 20, 2024 8:07 PM",18
300,Payments,933,18374,equipo 3,hibrido,"Feb 15, 2024 4:46 AM","Aug 5, 2023 1:55 PM",19
100,Gente,337,27594,"equipo 5 ",hibrido,"May 5, 2024 9:08 PM","Mar 5, 2024 10:18 PM",20
200,Tecnologia,813,36743,equipo 3,agil,"Jun 18, 2023 5:12 AM","Oct 12, 2023 4:51 PM",21
300,Zona Libre,665,2880,equipo 2,hibrido,"Oct 6, 2023 8:49 PM","Jan 20, 2024 5:23 PM",22
300,Payments,829,12695,"equipo 5 ",agil,"Sep 30, 2023 1:07 PM","Jun 5, 2024 2:53 AM",23
500,Tecnologia,949,37253,equipo 4,hibrido,"Sep 8, 2023 8:42 PM","Oct 10, 2023 1:49 AM",24
200,Operaciones,382,35356,equipo 7,agil,"May 13, 2024 10:12 AM","Jul 4, 2023 11:42 PM",25
200,Zona Libre,324,18773,equipo 2,agil,"Mar 28, 2024 11:01 AM","Jun 26, 2024 8:40 AM",26
300,Gente,258,15434,"equipo 5 ",hibrido,"Jul 27, 2023 2:51 PM","Mar 19, 2024 9:03 AM",27
200,Operaciones,674,43614,equipo 2,agil,"Dec 3, 2023 8:04 PM","Sep 8, 2023 7:01 PM",28
300,Operaciones,869,9545,equipo 6,hibrido,"Apr 20, 2024 2:17 PM","Jan 9, 2024 2:31 PM",29
500,Gente,399,27436,equipo 3,hibrido,"Jun 26, 2023 7:19 AM","Dec 19, 2023 8:53 AM",30
200,Payments,299,17192,equipo 1,agil,"Feb 10, 2024 1:13 AM","Aug 18, 2023 3:45 PM",31
100,Payments,278,19287,equipo 4,agil,"Feb 2, 2024 8:17 AM","Jun 25, 2024 9:48 PM",32
400,Gente,536,38699,equipo 2,hibrido,"Dec 5, 2023 5:51 PM","Jul 28, 2023 9:51 PM",33
400,Cumplimiento,618,16918,equipo 6,hibrido,"May 23, 2024 12:48 PM","May 31, 2024 3:31 PM",34
200,Cumplimiento,549,38140,equipo 6,agil,"Jun 11, 2023 6:57 AM","Feb 19, 2024 10:35 PM",35
500,Zona Libre,701,44849,equipo 4,hibrido,"Dec 27, 2023 6:17 PM","Oct 15, 2023 10:17 PM",36
400,Tecnologia,817,25285,"equipo 5 ",agil,"Aug 15, 2023 6:36 PM","Dec 9, 2023 8:38 PM",37
